year,name,img
1979,Philip Johnson,1979
1980,Luis Barragan,1980
1981,James Stirling,1981
1982,Kevin Roche,1982
1983,Ieoh Ming Pei,1983
1984,Richard Meier,1984
1985,Hans Hollein,1985
1986,Gottfried Bohm,1986
1987,Kenzo Tange,1987
1988,Gordon Bunshaft,1988_1
1988,Oscar Niemeyer,1988_2
1989,Frank Gehry,1989
1990,Aldo Rossi,1990
1991,Robert Venturi,1991
1992,Alvaro Siza Vieira,1992
1993,Fumihiko Maki,1993
1994,Christian de Portzamparc,1994
1995,Tadao Ando,1995
1996,Rafael Moneo,1996
1997,Sverre Fehn,1997
1998,Renzo Piano,1998
1999,Norman Foster,1999
2000,Rem Koolhaas,2000
2001,Jacques Herzog,2001
2001,Pierre de Meuron,2001
2002,Glenn Murcutt,2002
2003,Jorn Utzon,2003
2004,Zaha Hadid,2004
2005,Thom Mayne,2005
2006,Paulo Mendes da Rocha,2006
2007,Richard Rogers,2007
2008,Jean Nouvel,2008
2009,Peter Zumthor,2009
2010,Kazuyo Sejim ,2010
2010,Ryue Nishizawa,2010
2011,Eduardo Souto de Moura,2011
2012,Wang Shu,2012
2013,Toyo Ito,2013
2014,Shigeru Ban,2014
2015,Frei Otto,2015
2016,Alejandro Aravena,2016
2017,Rafael Aranda ,2017
2017,Carme Pigem,2017
2017,  Ramon Vilalta,2017
2018,B.V.Doshi,2018
2019,Arata Isozaki,2019
2020,Yvonne Farrell ,2020
2020,Shelley McNamara,2020
